ID;TEXT;YEAR;MONTH;DAY;RETWEET_COUNT;SENTIMENT
1175752835214061568;Warren is dangerous in the opposite way as Donald the sooner people realize this the safer we are Biden2020;2019;9;22;0;0
1175751732996886529;Biden2020 AmericaForSale HighestBiddersWin;2019;9;22;0;1
1175750689223585792;I want to sponsor a DemocraticDebate and to put as Debate Main Moderator PLEASE PLEASE PLEA;2019;9;22;0;1
1175750528271310848;PresidentJoeBiden PresidentJoeBiden PresidentJoeBiden PresidentJoeBiden Biden2020;2019;9;22;0;1
1175750458121629697;Combined 1st and 2nd choice in latest Des Moines Register CNN poll Warren2020 42 Biden2020 30 Sanders 2;2019;9;22;0;1
1175749308651593732;joechina MAGA2020 Biden2020 BidenUkraine BidenScandal bideneye;2019;9;22;0;1
1175747036249038848;Sanders and warren are the same I trust neither Frauds harris2020 beto2020 biden2020;2019;9;22;0;1
1175746996000448512;Im old but I love this Kamala2020 Bernie2020 Booker2020 Biden Biden2020 Beto2020 Castro Warren2020;2019;9;22;1;1
1175744862127362048;PROOF WAPO s Whistelblower claim a lie This is what DemocRATS do Ex Biden s make BULLIONS selling out America;2019;9;22;0;1
1175741470533439490;Ever hear of FinCEN It s part of the Treasury Department created under the Patriot Ac;2019;9;22;0;1
1175739839741870080;I m assuming is saying this so he can have his son self identify as female and go to a womans prison once;2019;9;22;0;1
1175739374958501889;JoeBiden has Become a Doddering Old Fool Who Acts Like An Escapee From A Nursing Home Democrats2020 Biden2020 BidenUkraine;2019;9;22;0;1
1175738947441479680;I prefer Warren2020 over Sanders and Biden2020 I would rather have Kamala2020 above all others but;2019;9;22;0;1
1175738738804236294;ukrainegate UkraineIfYoureListening UkraineScandal DoubleStandards BidenUkraine BidenScandal;2019;9;22;0;1
1175737827843293184;Yes I had a similar experience with a woke Bernie supporter nut who said all centrist democrats like me go to bed w;2019;9;22;0;1
1175737425592799233;Millions in circuitous wire transfers Urkaine HunterBiden Cocaine addict JoeBiden Biden2020 Ukrainegate;2019;9;22;0;1
1175736564179197952;I like warren but this will hand victory in 2020 Don t get so exited about this it could be yo;2019;9;22;0;1
1175736256988418048;I just want to lie on the beach and eat hot dogs That s all I ve ever wanted Election2020 Biden2020;2019;9;22;0;1
1175735063931183110;I hate trump But the extreme left lead by Warren would allow men pretending to be transgender to use the;2019;9;22;0;0
1175731658919677952;is a crook Never forget that BidenUkraine Biden2020;2019;9;22;0;1
1175731460050845698;Because they re stupid enough to think she can beat trump Because they are biased Because they ll re e;2019;9;22;0;0
1175730845648338944;If you grew up in the 90s you may recognize that Joe Biden uncannily resembles in appearance amp demeanor MTVs Beavi;2019;9;22;0;1
1175728859444129793;This is what trump amp republicans want They feel they can beat Warren is his toughest competitor;2019;9;22;0;1
1175728413581070336;BidenUkraine BidenScandal Biden2020;2019;9;22;0;1
1175728375169736704;Thankfully prison inmates actually UNDERSTAND gender fluidity and wouldn t abuse this Exactly why Biden is MY pres;2019;9;22;0;1
1175727845743591424;If his lips are moving he s lying Resisters Resist Democrats liberals tshirts;2019;9;22;0;1
1175727765368266753;Biden2020;2019;9;22;0;1
1175727739740942336;BidenUkraine Biden2020 Democrats2020 Setup Complete Ukrainian Scandal Revealed DS Whistleblower Agenda Fail;2019;9;22;0;0
1175727668794277888;This is WHY SHE ISN T CATCHING ON it just took to bring it to light Biden2020;2019;9;22;0;1
1175719412613074945;I wouldn t waste your time with the BS that people will be spew;2019;9;22;3;0
1175717841665789953;Bernie was talking about univeral healthcare in 1992 bernie2020 warren2020 Biden2020 Yang2020 delaney2020;2019;9;22;1;1
1175717386994847744;Keep up your negative coverage I ll never vote for Warren because of you re bias Carry on Biden2020;2019;9;22;1;0
1175712371895132161;ChinaJoe UkraineBiden UkraineScandal UkraineExtortion ukrainegate HunterBiden BidenScandal BidenUkraine;2019;9;22;0;1
1175709875873157120;MAGA Biden2020;2019;9;22;0;1
1175708855701037058;UkraineBiden UkraineScandal UkraineExtortion ukrainegate HunterBiden BidenScandal BidenUkraine Biden2020;2019;9;22;0;1
1175708521154916354;UkraineBiden UkraineScandal UkraineExtortion ukrainegate HunterBiden BidenScandal BidenUkraine Biden2020;2019;9;22;0;1
1175706738525233153;This tweet is dedicated to all the happy people All the ones who have no idea what s it s like to be broke as fuck;2019;9;22;1;1
1175705450081214464;BeatHimLikeADrum Biden2020;2019;9;22;1;1
