ID;TEXT;YEAR;MONTH;DAY;RETWEET_COUNT;SENTIMENT
1175754227517415431;DemsWereDestroyedToday DemsAreDestroyingAmerica DemsWantToDestroyAmerica DemsAreCorrupt DemsLie;2019;9;22;0;1
1175753905835319297;Nothing will change until the swamp is drained The election of DJT did not create the Lefts Media and HollowWoods;2019;9;22;0;1
1175753726998528002;republic QAnon freedom liberty justice god Jesus JesusSaves jesusChrist christian christians God Bless;2019;9;22;0;1
1175753702403203072;Labour Brexit Boris GeneralElection Trump2020 Facebook ads still funded by dark money and the new;2019;9;22;0;0
1175753649642979329;republic QAnon freedom liberty justice god Jesus JesusSaves jesusChrist christian christians God Bless;2019;9;22;0;1
1175753614809321473;republic QAnon freedom liberty justice god Jesus JesusSaves jesusChrist christian christians God Bless;2019;9;22;0;1
1175753601421139969;repub You want them to pass on an anonymous rumor That s TrumpDerangementSyndrome Trump2020 KAG;2019;9;22;0;1
1175753588389208065;Nice gathering of hippies Meanwhile at Trump s New Mexico rally last week MAGA Trump2020;2019;9;22;0;1
1175753585046577152;republic QAnon freedom liberty justice god Jesus JesusSaves jesusChrist christian christians God Bless;2019;9;22;0;1
1175753514942980098;Lol Trump4Eva Trump2020;2019;9;22;0;1
1175753487243776000;LamestreamMedia POTUS MAGA Trump2020 KAG BREAKING FoxNews FakeNews FactsMatter;2019;9;22;0;1
1175753395543642113;LamestreamMedia POTUS MAGA Trump2020 KAG BREAKING FoxNews FakeNews FactsMatter;2019;9;22;0;1
1175753354804416519;Trump2020;2019;9;22;0;1
1175753291428270081;Dear Indo Americans please vote for Trump2020 because u HV no other option People like Omar ll make Ur life mise;2019;9;22;0;1
1175753216723685376;COT Noice This white girl from Austin stands shoulder to shoulder with my MAGA fam Trump2020;2019;9;22;0;1
1175753140592939008;tells it like it is Thank you Corey for standing up to these TDS Democrats on a total;2019;9;22;0;1
1175753138067988480;I thought you were anti meat Trump2020 freedom to eat whateva;2019;9;22;0;1
1175753130170040321;Biden is feeling the pressure PANIC PANIC PANIC Trump2020;2019;9;22;0;1
1175752971306618880;I think it will be the Red Indian Pocahontas Oh what fun it will be MAGA Trump2020 WWG1WGA;2019;9;22;0;1
1175752885809713158;MAGA Retweet and buy tickets for the Orange County Florida Republican Party Trump Defender Gala and OCREC;2019;9;22;0;1
1175752701189271552;What a bunch of LOSERS Trump2020 Trump2024;2019;9;22;0;0
1175752675431985152;Truth hurts facts matter lift up the success of OUR president and stop trying to hinder him day a;2019;9;22;0;1
1175752513594769409;I guess this story blew up in your face Adam Trump2020 KAG;2019;9;22;0;1
1175752225911705600;UkraineScandal The appointed Inspector General called the report on his Ukraine actions credibl;2019;9;22;0;1
