ID;TEXT;YEAR;MONTH;DAY;RETWEET_COUNT;SENTIMENT
1175750689223585792;I want to sponsor a DemocraticDebate and to put as Debate Main Moderator PLEASE PLEASE PLEA;2019;9;22;0;1
1175734978602315778;Witness and Sanders2020 TAM Not again America PaperBallots GIVE US A FAIR VOTE ImpeachTrump RESIST;2019;9;22;0;1
1175733756826509312;Neither has Biden or Warren has a chance to defeat Trump Biden represents the legacy of the Democratic Party appr;2019;9;22;0;1
1175728394887208961;Figures don t lie liars figure DNC Resist Resistance FBR FBRParty Democrats Dems gop maga;2019;9;22;1;1
1175694185783005185;Sanders2020;2019;9;22;0;1
1175683799121846272;Not bad news for Bernie expose it Sanders2020;2019;9;22;0;1
1175670157131149312;BernieSanders Bernie2020 Sanders2020 FeelTheBern NotMeUs BernieForThePeople BrooklynBernie BernieBeatsTrump;2019;9;22;0;1
1175643625356763136;Linda Sarsour is a virulent anti Semite who has publicly stated that nothing is creepier than Zionism Her views;2019;9;22;0;1
1175624695871418374;Whoa bringing some hard truth Are you listening sheepnomore SaturdayThoughts Biden Sanders2020;2019;9;22;0;0
1175621614903283712;There s a certain level of truth in this tweet I can relate it I highly respect but I cannot say t;2019;9;22;2;1
1175617725042814977;Election2020 Sanders2020 Warren2020 Yang2020 YangGang;2019;9;22;0;1
1175616106695942150;What if bribery was illegal to win elections Sanders2020 Wang Trump2020 KAG2020;2019;9;22;0;1
1175615916375269376;NunyaDB Student debt has NEVER been anywhere near this onerous It s a massive crime;2019;9;22;0;1
1175603616465530880;BernieSanders Berners BernieBeatsTrump BernieSanders2020 Bernie2020 Sanders2020 FeelTheBern NotMeUs;2019;9;22;0;1
1175601807940362240;StillSanders Sanders2020;2019;9;22;0;1
1175601357459460096;You lost me in 2012 when you wouldn t endorse Bernie Sanders2020;2019;9;22;0;1
1175595921318522881;You cannot hide a revolution Sanders2020;2019;9;22;1;1
1175593433303592961;Our earth is dying and the only candidate with a real action plan is Senator Sanders As progressives we must uni;2019;9;22;0;1
1175593412130693120;I am willing to pay more in taxes for MedicareForAll Sanders2020;2019;9;22;0;1
1175592224056385536;The ACA is still unaffordable for many Americans deserve medicare4al Sanders2020;2019;9;22;0;1
1175585863243370497;We see you and we know what you re doing You can t erase us Sanders2020 FakeNews;2019;9;22;0;1
